Date,Close,Ticker_cryptos_Yf,Short_Name_Cryptos
01-09-2014,386.944,BTC-USD,Bitcoin
01-10-2014,338.321,BTC-USD,Bitcoin
01-11-2014,378.047,BTC-USD,Bitcoin
01-12-2014,320.193,BTC-USD,Bitcoin
01-01-2015,217.464,BTC-USD,Bitcoin
01-02-2015,254.263,BTC-USD,Bitcoin
01-03-2015,244.224,BTC-USD,Bitcoin
01-04-2015,236.145,BTC-USD,Bitcoin
01-05-2015,230.19,BTC-USD,Bitcoin
01-06-2015,263.072,BTC-USD,Bitcoin
01-07-2015,284.65,BTC-USD,Bitcoin
01-08-2015,230.056,BTC-USD,Bitcoin
01-09-2015,236.06,BTC-USD,Bitcoin
01-10-2015,314.166,BTC-USD,Bitcoin
01-11-2015,377.321,BTC-USD,Bitcoin
01-12-2015,430.567,BTC-USD,Bitcoin
01-01-2016,368.767,BTC-USD,Bitcoin
01-02-2016,437.697,BTC-USD,Bitcoin
01-03-2016,416.729,BTC-USD,Bitcoin
01-04-2016,448.318,BTC-USD,Bitcoin
01-05-2016,531.386,BTC-USD,Bitcoin
01-06-2016,673.337,BTC-USD,Bitcoin
01-07-2016,624.681,BTC-USD,Bitcoin
01-08-2016,575.472,BTC-USD,Bitcoin
01-09-2016,609.735,BTC-USD,Bitcoin
01-10-2016,700.972,BTC-USD,Bitcoin
01-11-2016,745.691,BTC-USD,Bitcoin
01-12-2016,963.743,BTC-USD,Bitcoin
01-01-2017,970.403,BTC-USD,Bitcoin
01-02-2017,1179.97,BTC-USD,Bitcoin
01-03-2017,1071.79,BTC-USD,Bitcoin
01-04-2017,1347.89,BTC-USD,Bitcoin
01-05-2017,2286.41,BTC-USD,Bitcoin
01-06-2017,2480.84,BTC-USD,Bitcoin
01-07-2017,2875.34,BTC-USD,Bitcoin
01-08-2017,4703.39,BTC-USD,Bitcoin
01-09-2017,4338.71,BTC-USD,Bitcoin
01-10-2017,6468.4,BTC-USD,Bitcoin
01-11-2017,10233.6,BTC-USD,Bitcoin
01-12-2017,14156.4,BTC-USD,Bitcoin
01-01-2018,10221.1,BTC-USD,Bitcoin
01-02-2018,10397.9,BTC-USD,Bitcoin
01-03-2018,6973.53,BTC-USD,Bitcoin
01-04-2018,9240.55,BTC-USD,Bitcoin
01-05-2018,7494.17,BTC-USD,Bitcoin
01-06-2018,6404.0,BTC-USD,Bitcoin
01-07-2018,7780.44,BTC-USD,Bitcoin
01-08-2018,7037.58,BTC-USD,Bitcoin
01-09-2018,6625.56,BTC-USD,Bitcoin
01-10-2018,6317.61,BTC-USD,Bitcoin
01-11-2018,4017.269,BTC-USD,Bitcoin
01-12-2018,3742.7,BTC-USD,Bitcoin
